entity1,entity2
CEBPZ,RPS5
CLTC,HLA-DRA
KRI1,SURF6
GLE1,TMEM214
AXIN1,FZD1
LUC7L3,PLRG1
G3BP2,RPL23A
BRIX1,UTP23
CDC25B,CDK5
MED10,MED22
FYCO1,MLYCD
LIMA1,MYO1C
CAPNS1,CAST
MRPS5,RPL15
G3BP1,RPS10
DYRK1A,NOTCH1
FGFR1,MAPK3
HGS,VPS37A
CACNA1H,CALM3
AGRN,GGNBP2
HEY1,MEF2C
CRNKL1,DDX39B
COPS8,SKP1
CPSF3,SYMPK
ACTB,DNM1
ATP5ME,ATP5PO
DNM1L,NTM
GPN1,POLR3A
DHX35,LSM2
HMGB2,MYLK
ILK,LIMS1
ATP6V1B1,ATP6V1E1
NUP153,TMEM209
CDC7,MCM2
EEF2,IGF2BP3
ANK2,NUFIP1
ACTB,FMNL3
DNA2,WRN
AARSD1,KAT7
ADCY8,CALM3
FANCG,FANCM
LEF1,LEO1
DDX39A,NMI
NKRF,ZCCHC3
ABCD3,PEX19
CCDC137,EBNA1BP2
NDUFA10,NDUFS2
AATF,C12orf43
APC,JUP
ACTB,SHTN1
FMR1,TARDBP
CCT2,VBP1
CAMK2A,NUFIP1
FOCAD,LYAR
MRPS22,ZNF629
NFE2L2,PARK7
GALE,ISYNA1
GPI,TMSB10
HP1BP3,MPHOSPH10
CENPC,CENPN
ARHGEF2,PTK2
EBNA1BP2,KRI1
DKC1,TOE1
EIF3J,RACK1
ARPC2,ARPC5L
BCAS2,RNPS1
BNIP1,USE1
FYN,LAT2
MFAP1,PPIE
LRRFIP1,SPECC1L
DDX17,DDX5
BCAS2,VTA1
GTF2E1,POLR2K
E2F4,LIN52
HOXA10,MYLK
GALNT18,GUSB
C8orf33,NVL
ACTR3,ARPC5
CDK8,MAML2
LYAR,ZNF574
ADAM9,ITGA9
MFAP1,RTN3
ALG6,SLC47A1
ABI1,ABI2
KPNA3,NPAT
MRPS22,ZNF22
ARPC3,DOCK7
DDX10,FTSJ3
CALR,EIF2S1
ANAPC15,ANAPC7
MLH3,PMS1
AKAP8L,DHX9
E2F4,SMAD2
HGS,VPS37C
AVEN,BRIX1
CREB1,CSNK1A1
ANAPC11,CDC16
AQR,SRSF7
FN1,STAT3
DDX17,NCBP1
G3BP1,RPL38
MYC,RUNX1
HNRNPU,PPIL3
ALDH5A1,GOT2
DDX20,TNPO3
CHCHD1,DAP3
DDX56,WDR36
CDK8,GTF2H3
CCND1,E2F4
NDUFA10,UQCRQ
DDX39B,PRPF4
HMG20B,PUF60
G3BP1,RRP15
HOXC9,RPS6KA5
DDX10,RTCB
COPS4,CUL2
BCAS2,PPIE
COL18A1,DR1
DIMT1,EEF2
NFKB1,NFKBIA
NUP107,NUP133
NAA15,RAP1GDS1
EIF2S3,EIF3F
G3BP2,TRMT112
MED13L,MED30
AP2A2,CALCOCO1
LYAR,NAT10
AURKAIP1,MRPS2
KPNA4,ZBTB2
GTF2E2,POLR2D
MAPK9,MYC
G3BP1,SERBP1
NCBP1,NELFB
EMG1,USP36
NDUFA3,NDUFS5
BUD31,DDX5
KAT5,ZNHIT1
LUC7L3,SPEN
ABRAXAS1,BARD1
HNRNPM,RPS7
CLASP2,SLIT2
DCAF13,NGDN
AIMP1,EPRS1
NUP155,NXF1
CTTN,PTPRG
NDUFA5,NDUFS3
KIF20A,STK26
CPSF1,CPSF6
CDK1,LIG1
NFKB1,PERP
CCDC86,DHX29
CALM3,CAMKK1
KAT5,UIMC1
LYAR,RPS13
FN1,ITGB3
GTF3C2,GTF3C5
KIF23,ZFP91
EBNA1BP2,G3BP2
FAM83H,PKP2
FYN,LYN
CCDC137,NOL6
BRIX1,CCDC124
ATP5F1E,ATP5MC2
GGNBP2,ZFP41
CALM3,PHKA1
CSNK2A2,VSX1
MRPS5,RPS24
EGF,FGF13
MRPL11,MRPL48
MRPL15,MRPS12
GOT2,KYAT1
ITGA5,ITGB1
G6PD,GPI
DDX21,DDX47
AP2A2,BMP2K
GRAP2,PAK2
CD2BP2,DHX16
CMTM2,CMTM3
KANSL3,MCRS1
MYH10,MYH9
BRCA1,KAT5
NCOA2,NR5A2
ABHD16A,METTL25
CWC15,HNRNPM
HNRNPU,RPL34
BSG,SLC16A4
MAD2L1,NDC80
DHX37,NOP14
CCNB2,PDS5B
INTS3,TTI1
MRPL15,MRPL40
EEF2,PRR11
CFDP1,RUVBL1
BECN1,MCL1
HNRNPM,SRSF1
CPSF1,FIP1L1
NIFK,RSBN1
GNAI2,GNG11
DLD,GLDC
NOP14,UTP18
MCM2,PRIM2
DYRK1A,FOXO6
BCLAF1,MATR3
BCAS2,PAXBP1
CDNF,LYRM4
MTG1,MTG2
MRPL12,MRPS7
MRPL11,MRPS5
MYO19,NEXN
MTMR3,SETD2
MATR3,PPIG
EIF2S1,SLC25A4
DHX29,LLPH
CWC15,DHX16
ANAPC7,UBE2C
GNAI3,GPR34
IFNGR2,SOCS1
HNRNPK,SNRPB2
MRPL55,MRPS33
GTF2E2,POLR2F
G3BP2,SLC25A6
DDX56,SRP68
COX7C,NDUFA6
ACTR6,JAZF1
DHX15,KHDRBS1
GSN,LRRFIP1
NUP153,RAE1
MRPL43,NDUFAB1
CCDC61,PCM1
CENPA,CENPC
NDUFA6,NDUFS2
CTDP1,GPN2
FASTKD2,MRPL16
CLTA,MYO6
KIF23,WTAP
CDC73,DDX17
DDX47,FOCAD
DIMT1,RPS7
NDUFA10,UQCRB
KPNA3,LMNA
CDK3,CDKN1C
CCNB2,PLK1
DENND4A,STIM1
BTF3,EIF2S1
DDX10,RBM34
ACTB,PFN1
CBX3,SUPT16H
CTBP2,SPEN
MAPK6,PAK2
MFAP1,SF3B5
BTK,MYD88
HNRNPU,RPL10L
AP5B1,ZFYVE26
MRPL44,MRPL49
MRPL2,MRPL34
EEF2,RPL36AL
GOLT1B,UQCRC1
FARS2,GAR1
LARP7,REXO4
CCNY,CDK16
DOCK7,EFHD2
DDX10,RRP12
CDKN1A,FKBPL
COMT,CYP1A1
G3BP1,RPL37
ARL6IP1,RPS18
ITGB1,LAMB3
KRI1,ZNF574
DDX17,SF3B2
CEBPZ,RPF1
NOP16,SF3B2
GTF2H4,TJP1
EEF2,RPL10
NFE2L2,SOD1
MED10,MED8
NUMA1,TUBA3C
CCT4,CDC20
CD2AP,FYN
KPNA3,TNIP2
HEATR1,NOP14
EEF2,TTC37
ADAM15,SH3PXD2A
FOXO1,TCF4
MRPL44,MRPL48
COX15,TIMM21
NDUFS2,NDUFS7
GOLGA2,SEC24C
CRY1,CSNK1D
FOXO4,SMAD4
BOLA3,GLRX3
DDX17,XAB2
HNRNPM,LYAR
C8orf33,ZCRB1
GADD45GIP1,RCC1L
FASTKD2,NGRN
CCNC,MED19
CENPC,SMARCA5
FYN,KLRK1
EIF2S3,RPS13
CPSF1,CSTF2T
NIFK,RRP9
CCDC137,PRDM15
GAR1,PURA
EEF2,RPL22L1
ABT1,HP1BP3
DDX10,LIN28B
GZF1,NOP16
GAR1,RRP15
E2F1,MYBL2
CEBPZ,SRP72
DHX29,YTHDF3
CWF19L2,PPIE
CCDC86,LYAR
HNRNPK,SF3A2
KRI1,NAT10
DHX38,HNRNPM
G3BP2,RPS25
EIF2S1,RPL7
MRPL15,MRPL51
NDUFB3,NDUFB5
MRPL44,MRPS5
DHX16,U2SURP
DLGAP4,SHANK1
CCNY,GNA11
ATP5F1A,SLC25A3
MRPS2,MRPS5
GAR1,SERBP1
DDX47,YBX3
LSM7,SF3B4
ALDOC,GALE
HNRNPM,NOLC1
CCT3,CCT5
CDC16,GNPTG
KAT2A,SAP130
CSNK1D,NCOA3
CCDC124,G3BP1
CAPZB,PAFAH1B1
EEF2,RACK1
KRI1,RPS13
DCP1A,NR3C1
GNA13,S1PR3
CCDC61,CEP295
EIF3F,EIF3J
AR,NCOA3
DDX10,TOE1
CCT3,PFDN2
CDKN2A,MYC
DDX5,U2AF1
DAP3,MRPS33
CEP170,CNTRL
BBS7,CCT2
GALE,GALK1
AATF,EBNA1BP2
DDX42,DHX15
NIFK,NKRF
CALM3,GAP43
LYAR,STAU1
FGF23,FGFR4
MRPL20,MRPL34
LLGL1,PTPN14
FKBP5,HSPA8
LLPH,NIFK
DDX17,RALY
AATF,DDX24
HNRNPK,LSM2
MECP2,TBL1X
G3BP2,YME1L1
DHX29,PRDM15
HNRNPU,SRPK2
CUL5,SOCS3
DAP3,MRPS7
DHX35,MAGOH
GNPNAT1,NAGK
IKZF1,LNPEP
EIF2S1,SUPT16H
MRPL41,MRPS25
NDUFS6,NDUFV1
DRG1,ZKSCAN8
MRPL15,MRPS14
DHX15,SYF2
GNL3L,NKRF
ACTG1,HCLS1
MED1,OPA1
CDK8,SMAD3
LYAR,RPL32
CEP350,PPP2R3C
HNRNPU,RPS24
NFKB1,RASAL2
CEBPZ,GNL3L
LARP4B,RPS28
FGFR1,SYNCRIP
DHX15,RBM25
AQR,C1orf52
GAR1,ZNF622
DDX10,ZC3H10
CENPE,KIF20A
MRPL33,MRPS28
C8orf33,RRP15
ANAPC16,ANAPC4
DCAF13,RPS7
MNAT1,MTA1
MRPL49,MRPS27
ABCB8,CCDC51
COPS6,COPS8
FN1,IGHM
EIF1AX,HNRNPU
DHX15,SLU7
CAV1,FYN
CTR9,TRAPPC13
FH,IDH1
DDX10,DDX54
BYSL,DCAF13
ACTL6A,ARID1B
CSNK2B,CTDP1
MRPL22,RPL23
CORO2A,MYO5C
CERS5,SGMS1
DSC3,JUP
ACTB,LMNA
NDUFA8,TIMMDC1
KIF20A,NUF2
LCMT2,NAA35
ALDOC,ENO1
MRPL34,MRPS28
NDUFA8,NDUFA9
HNRNPM,SRP14
FXR1,KBTBD2
DIMT1,NOLC1
CFL2,SIPA1
EAF1,ELL2
EEF2,SERBP1
GATA2,LDB1
IFT88,LAMP2
CFAP20,DDX5
DDX24,NSD2
MYC,SIRT2
BSG,ITGA6
ACSF3,GMPR2
NELFB,NTRK3
APPBP2,DCAF4
CUL1,REL
IKBKG,NFKB1
FYB1,GRAP2
MRPL16,MRPS33
HOOK3,MSR1
FN1,PTK2
NEURL4,UBE3A
NDC1,NUP107
MFAP1,TFIP11
CALM3,PRKACG
NKRF,RIOX2
NDUFA1,NDUFAB1
ACTR6,ZNHIT1
DDX39B,LSM3
CACTIN,HNRNPU
MT-ND6,NDUFA10
ASXL1,CDKN2B
EXTL3,SUN1
GNAI3,GPSM1
NECTIN2,NECTIN3
DDX17,SMU1
NXF3,NXT1
AKAP17A,SMU1
CUL2,SKP1
DHX16,SNRNP70
HMBS,HNRNPH3
COX7C,NDUFA5
ATP5F1C,NDUFS1
MRPL16,MRPS7
LIG1,POLE
CCDC14,CEP63
AGO1,XPO5
DDX24,RBM19
LUC7L3,RBM39
MRPS15,MRPS25
AKR1A1,GSR
MCM4,NMI
CLTA,KIF4B
HSPA9,TIMM23
AGER,DIAPH1
EIF3E,MAD2L1
HOXB13,TCF4
DUSP1,MAPK8
LUC7L3,PPIL1
CENPV,MKI67
NMD3,PA2G4
MRPS5,RPL13
METAP1,METAP2
CEBPZ,SMARCA5
FANCM,RAD18
EEF2,RPL37A
NCR3,NECTIN2
GUSB,UGGT2
NDUFA5,UQCRHL
DDX47,NOP10
MAP2K3,TAOK1
GZF1,LARP7
ABT1,PPAN
HP1BP3,NOL6
CTBP1,EP300
CDKN1A,CDKN1B
CDC5L,DDX5
AXIN1,FRAT1
BCAS2,DHX15
HYAL2,SLIT2
CCT5,CCT6B
AXIN1,TCF7
EEF2,ZNF622
MXD1,RPS6KB1
DDX47,RPS20
EPM2AIP1,MAD2L1
DDX47,SLC25A3
EEF2,RPS19
NUP153,NUP214
DRG1,SURF6
CCT2,PFDN1
BMP7,GUSB
DHX15,PRPF6
DKC1,EBNA1BP2
DDX39B,WTAP
CEBPZ,SKIV2L
CREBBP,NFKB1
FOXO4,SIRT1
GNAI2,GNG5
ANKRD11,NCOR1
ACTB,NCL
FYN,ITGB6
FANCF,FANCI
CWC22,DDX39B
BTK,TEC
DDX17,MFAP1
G3BP2,RPS3
CCDC85B,ZFYVE9
MRPL49,MRPS22
CDK1,NUF2
CCDC137,ZNF771
GPD2,SLC7A3
HNRNPU,RPL14
MRPL22,RPL34
BOD1L1,OGT
HINT1,PMP2
NT5C,NT5C3A
ATXN7,CRX
CCNA1,CDC25B
CDK2,CDKN1B
ANAPC4,CDK1
KAT2A,POLE3
DDX47,ZNF770
LARP7,WDR12
MECP2,SOX2
NDUFA6,NDUFS7
INTS2,INTS7
DDX5,SRSF7
ARHGAP11A,CORO2A
AIMP2,PRKN
DDX50,DRG1
MAP2K3,MAP2K6
ABT1,SPOUT1
GAR1,NOL10
CHEK1,KITLG
MRPL28,MRPL41
BOP1,BRIX1
BRIX1,TOE1
BRIX1,CCDC137
GINS4,RPA1
NDUFB5,NDUFS1
CCNT1,ESR1
CFAP97,GNPTAB
KRI1,STAU1
CCDC137,RRP1B
CDC45,CHEK1
CUL1,SKP2
CIRBP,DDX5
CSK,ITCH
LUC7L3,SNU13
NR0B1,NR5A2
NOP14,TBL3
LSM7,SRRM2
FBXL15,RBX1
MRPL22,RPL15
DHX35,SNRPD1
ARRB2,MAPK3
CCDC137,PES1
NUP155,NUP98
MRPS22,SRP68
FAM83H,USO1
EAF1,PIP4K2A
KPNA3,KPNB1
BANP,SIN3B
CALCOCO1,FCHO2
LAMP1,NPRL3
GADD45G,GADD45GIP1
BRIX1,NIFK
DNM1L,DPYSL2
BUD31,MFAP1
KPNA3,RBBP7
JMY,TP53
CORO1C,HMGB2
CUL1,MCC
MRPS5,PTCD3
EIF2S1,RPS15
CTSS,HLA-DQA1
ANKRD13B,GNAI3
NUP155,TMEM209
KANK2,SEC16A
DDX39B,PRPF40A
ATR,BARD1
MBD3,SMC1A
CSNK1D,SEC22B
CACTIN,LSM7
AQR,SNRNP40
ELK1,HLX
GCLM,UROS
GATA2,KLF1
GNAI3,GRPR
CCDC137,NOP16
BLNK,BTK
NDUFB1,NDUFS6
ARSK,GALNS
MYC,PFKM
GLRX3,LAGE3
AATF,PRDM15
ACTR10,GALNT1
DR1,ZNF131
EIF2S1,HNRNPU
DHX35,SF3B3
GNAI3,P2RY10
ACTB,SIPA1L1
CCNDBP1,SYF2
DDX39B,SF3A1
ARL6IP1,RPS3A
FYN,NGEF
MRM3,MRPL34
C8orf33,SPTY2D1
DHX29,RRP1B
CSNK2A1,MYH9
ABT1,PWP1
ALDOC,PGP
ADD3,DMTN
ANKRD52,PPP6R1
NDUFA3,UQCR10
DDX56,RRP9
DHX35,FRG1
GAR1,RPL7L1
CLASP2,ROBO1
EEF2,RPL12
KAT5,RPA3
HOXB9,MEF2D
FXR1,MATR3
ITGA2B,ITGB1
EIF3H,EIF3L
GLUL,RIPK3
MRPL33,MRPL35
DIMT1,RPS29
LAS1L,WDR18
CSNK2B,HAGHL
LYAR,RPS29
MED27,MED30
MED4,NMI
ACTR3,HCLS1
COX5B,NDUFA3
ANKRD52,PPP6R3
ATG101,MLST8
DLGAP4,NUP50
ACTG1,TMSB4X
MRPL49,MRPL54
NIFK,RBMX2
DYNLL1,NUDCD3
DLAT,PDK2
BRIX1,C12orf43
ERLIN2,PIK3CA
DHX29,NOP16
DDX56,NOC3L
BLOC1S2,HPS3
CBX5,PMF1
MAU2,WAPL
MRPS22,MRPS33
ATXN7,TAF4
CSF2,FGF13
H3C15,MBD2
MRPL28,MRPS21
MRPL34,MRPL35
CPSF1,PAPOLB
MBD2,SMARCA4
LIN52,LIN9
ABCB10,CDON
CWF19L2,DHX15
NIFK,RPS17
LACTB,MRPS2
HNRNPU,RPL13
CSNK2A2,EEF1B2
FGFR4,FRS2
MED16,MED30
C3,CFD
AATF,KLK3
GPI,LDHA
HNRNPU,RPS2
MRPS22,MRPS7
DDX56,NKRF
AVEN,CEBPZ
CENPH,CENPP
DDX39B,THOC6
GGA1,GGA3
AZI2,CALCOCO2
DHX16,PLRG1
NDUFS6,NDUFV3
CCDC124,GAR1
GUSB,SIAE
CLN3,PPT1
CDKN1B,CUL4A
ACTR3B,ARPC3
CCNT2,CTDP1
GNAI3,LPAR5
ADA,ADAR
HNRNPK,MAGOH
ARHGEF12,GNA12
DHX29,RTCB
KAT5,SRSF2
BSG,UBE2J1
DHX15,FUS
HGS,USP8
APAF1,MAPK1
GNE,NPL
MPZL1,SRC
DYNC1LI1,HOOK3
GTF2E2,TAF1
DDX39B,TRA2B
ENO2,GPI
CHD4,MBD3
ATP5F1A,MT-ATP8
C8orf33,RPL7L1
CDC20,INCENP
DLX2,MSX1
HNRNPM,RPL7A
ATP6V1B2,LAMTOR1
BRIX1,SCYL2
HP1BP3,RSL1D1
CAMK2D,IFNGR2
NOP14,RPS24
DAZAP1,TAGLN2
FBL,NOL11
CDC16,UBE2S
EEF1A1,G3BP2
CAPZB,DYNLL2
AGTR1,GNA13
CHERP,HP1BP3
EIF2S1,UBA52
CCND1,MECP2
AP2S1,KIF4A
LSM7,USP39
CDC20,CENPA
DKC1,PRDM15
FYN,MAPK14
DDX47,EEF1G
ATP5ME,NDUFS5
HAGHL,RNF111
DNM2,RPE
C8orf33,GAR1
ATR,MCM4
CALCOCO2,SLC36A1
LYAR,UTP18
LEO1,PAF1
EEF2,HNRNPA1
NFKB1,TP53
GAR1,ZCCHC3
CPSF1,WDR82
DRG1,ZNF574
NSUN2,RPL31
DVL1,FZD5
G3BP1,YWHAE
KTN1,RHOG
CCDC137,RBM34
NMD3,RPL10L
MADD,RAB35
NUP155,RAE1
HOOK3,VPS41
CCDC137,LARP7
HNRNPDL,TAF15
H3-4,KAT5
ARHGDIA,CDC42
DHX57,KRI1
FOXK2,HCFC1
BANP,RBL1
BRIX1,RPL3
NUP37,NUP93
LSM7,LSM8
MGLL,NDUFA5
GLE1,NUP155
ACTA2,EEF2
NIFK,RPS26
KAT5,SUMO2
BSG,FAM8A1
MFAP1,SRSF4
NUP35,NUP54
GNAI3,LTB4R
CCDC137,NSA2
CDK2AP1,KPNA3
EIF2S3,RPS29
DNM2,HLA-DPA1
GOLGA2,SEC24D
CD3E,CSK
CLCN3,LGALS8
DRG1,NAT10
G3BP1,NAP1L4
ERLIN2,GAB1
CORO1B,DST
MRPL15,MRPL44
MT-CO2,NDUFS2
DR1,UBAP2L
ACTR3,PHLDB2
NIFK,RIOX1
DARS2,PREPL
FZR1,SKP2
ACTB,WASL
AZI2,IKBKG
DENND4A,GDI2
DDX47,RPS12
EPS15,ITSN2
CSK,FN1
DHODH,GMPPA
DNA2,RMI1
CCDC137,LIN28B
DDX39B,SF3B1
MED31,POLR2E
HP1BP3,ZNF771
DHX16,SRSF2
DRG1,RPS13
ARHGEF11,PLXNB1
LSM3,MFAP1
DDX31,DDX47
AUNIP,SNX18
DNA2,RPA1
HNRNPU,SRRM1
DHX29,LARP7
DKC1,NAF1
MED20,MED30
CCNB2,CENPF
NKRF,PURA
NFKB1,POU2F1
CDK8,SMARCC1
MED31,MED9
EIF2B1,ZSWIM6
CCT3,CCT6A
CPSF1,RBBP6
NIFK,NOC2L
BMS1,DRG1
DHX29,RRP12
DHX15,SRSF9
MRPL48,MRPS9
AATF,RRP1B
AP2M1,HLA-DQA1
CSNK1D,LTV1
HMG20B,SNRPG
MRPS5,RPS6
ITGB1,LAMB2
MYH9,RHOC
IDH3A,OGDHL
CPSF1,CSTF3
ARHGEF11,RND1
AATF,PES1
GTF2E2,MED21
DIAPH1,PFN3
NDUFA11,NDUFA9
ABT1,PABPC4
NKRF,SERBP1
EIF2S1,EIF4A1
DDX41,HNRNPM
DST,SSH2
CUL5,UBE2F
NUP133,SUMO1
KANK1,KIF21A
CASC3,ZC3H14
NUP93,RING1
GSN,LIMA1
LUC7L3,U2SURP
ACTG1,TLN1
FANCM,RAD51B
EPB41L4B,ERG
MAPK6,MAPKAPK5
KPNA4,ZNF521
CUL7,MRPS16
HNRNPK,SNRPD1
GGA1,M6PR
C8orf33,RSL24D1
G3BP1,TSR1
NKRF,XRN2
CFL2,TESK2
APOA5,APOE
LEO1,POLR2C
BPGM,GAPDH
OGT,TET3
ALDOA,ALDOC
DDX10,NOL6
MRPL52,MRPL55
BAIAP2,KIAA1522
ARPC2,WASF1
GTPBP4,NIFK
DDX10,DDX50
DHX29,LIN28B
NOP16,ZCCHC9
BRIP1,PALB2
MFAP1,U2AF2
ANAPC4,UBE2C
HNRNPM,SLC25A5
CNR1,GNAI3
AATF,NOP16
DDX41,DHX16
CPSF1,GTF3C3
ABT1,MRPS22
DCTN6,DYNC1I1
DDX47,PHAX
NOP14,WDR46
NSUN2,RPL11
MRPS10,MRPS22
ACTG1,MYH2
DHX15,PRPF3
CENPJ,TUBG1
GRWD1,RPL11
MAD2L1,TPR
BRIX1,NPM1
MRPL35,MRPS25
ACTR10,DYNLL1
C10orf88,CLTC
ADPGK,GPI
DRD1,GNAI3
GRAP2,SOS1
HOXC6,HOXC9
MRPL22,MTERF3
CSNK1A1,GSK3B
DHX16,SNRPF
ACTB,ARPC2
CALCOCO1,KIF13A
DIP2A,PIK3R1
DAPK1,MYL12A
DNMT3B,H2BS1
ARF6,CRK
COPS8,LRR1
NKRF,ZNF622
DHX35,WDR83
CAV1,ITPR3
HGS,STAM
ESR1,FOXO1
BMS1,C8orf33
KRI1,UTP18
EIF3E,EIF3L
DDX47,ZC3H8
NR1H3,TBL1X
BCAS2,U2AF2
ABT1,ZC3H8
HNRNPK,SF3B3
ELP2,ELP5
BCKDHB,BCKDK
AATF,RTCB
LUC7L3,PRPF19
FYN,YES1
HRK,MCL1
CAPZB,DYNC1H1
DDX27,NOP16
MEPCE,NSUN2
ACTB,PPARG
KLHL18,NUDCD3
DDX24,RPL36A
CPSF3,SFPQ
IGF2BP3,NOP16
G3BP1,RIOX2
AFAP1,CFL2
FAF2,NPLOC4
KMT2A,MCRS1
ACTL6A,HNRNPC
G3BP1,ZFP62
CRHR1,GNAI2
DHX15,SRSF3
KCNE3,KCNH2
GNAI3,S1PR5
INO80,MCRS1
ACTG1,DST
INTS3,VAC14
G3BP2,HNRNPC
ARID4B,SMARCA4
MRPS22,RRP9
ADH5,GSTP1
GNAI3,PTAFR
BRIX1,EBNA1BP2
CCDC59,HP1BP3
DDX24,KNOP1
CCNC,NCOA1
MRPL11,MTG1
BRIX1,DDX24
IFNGR2,PTPN6
MRPL13,MRPS25
ANK3,PALM2
BCAS2,SFI1
GTF2H1,SMARCC2
FOXO1,STK4
NSUN2,RPSA
CENPC,CENPK
NDUFA2,NDUFB5
COX5A,NDUFA6
DHX29,ZC3H10
LSG1,RPL8
G3BP2,RPL9P7
COX5B,NDUFA8
HERC5,NKRF
ARG2,NOS3
CDC14B,SIRT2
FBLN2,FN1
DHODH,GMPPB
DLGAP4,KLHL7
GRWD1,RPSA
GPI,PGAM1
HP1BP3,RRP8
DIMT1,SLC25A5
DDX56,RBMX2
DKC1,RRP1B
DDX47,RPLP2
MOV10,MRPS22
CCNC,SMAD4
MRPL4,MRPS33
DDX39B,SF1
HGS,MVB12B
CCDC137,MPHOSPH10
G3BP1,IGF2BP3
ARG2,NOS2
DKC1,PES1
BCAS2,HSPA8
CLTC,HIP1
EIF2S1,NACA2
CPSF6,DDX17
EIF2S1,RPS16
DDX5,PSIP1
GATA2,ZFPM1
CBFB,CUL5
NPLOC4,RPA2
AQR,PRPF4
ACTB,AKAP2
EIF2B5,EIF2S3
CDKN1B,SPDYA
ADD1,ANK2
FUS,MATR3
CEBPZ,MYEF2
DDX5,SNRNP40
LSM7,SNRPB2
NIFK,WDR36
DDX24,PAK1IP1
AP3B1,CAPZB
ABLIM1,HMGB2
CALM3,MYLK3
HPS1,HPS4
CAPZA2,MYH9
NKRF,SDAD1
MRPS22,NKRF
CCDC85B,PPP1R8
CTDSP2,SMAD2
CDK9,LEO1
DRG1,STAU1
ARL1,PKD2
ACO2,NDUFS2
GTF2H3,XPA
EP300,MEF2D
DVL2,DVL3
DKC1,NOP16
ERCC2,GTF2E1
MCM2,RB1
DVL2,WNT1
LACTB,MRPL52
B4GALNT1,ST8SIA1
EIF2S1,HSP90AA1
ATXN7,SF3B3
MRPS22,MRPS35
C8orf33,GLYR1
ACTR6,MYC
ACTA2,LYAR
ANKRD6,DVL2
CDC6,ORC4
KRI1,PUM3
HNRNPM,TPR
CCNC,EP300
CUL1,FBXO27
MRPL15,MRPL48
FMR1,TDRD3
ACTG1,ITGB1
ACTG1,ARPC5
ITFG2,KPTN
CD47,ITGB1
BRIX1,LLPH
CENPK,ZFP91
GRWD1,RPL3
AATF,RBM34
LIMA1,SPECC1L
ATP5PD,ATP5PF
NFATC1,NFATC4
HNRNPU,RPS6
CCT2,PPP2CB
BRIP1,RPA2
CCNT1,NELFE
MRPL28,MRPL34
CDK8,E2F1
AATF,LARP7
FZD5,WNT3A
CCNT2,CDK13
COX5B,NDUFA11
GAR1,TSR1
DNM1L,GPM6A
ANKRD27,RAB32
DENND4A,WNK1
MRPL1,MRPS25
FMR1,SHANK1
MYBBP1A,NIFK
NDUFB1,NDUFS2
MBD3,SNRPD2
AATF,RRP12
ACTG1,SMARCA4
MRPL46,MRPS28
NMI,TRIM28
ANXA2,HMGB2
ATR,H4C15
ALDOA,TKTL2
EIF3K,RPS15
CRK,GGA3
MRPL15,MRPS5
CCNF,CCP110
CDC20,NUF2
MCL1,VDAC1
CCNA1,MYBL2
MED14,MED30
HP1BP3,NSA2
DHX35,EFTUD2
CHD4,HMG20B
CHEK1,PPP2CA
CCDC122,ODF2L
CDC20,CENPE
FYN,WAS
GRAP2,VAV2
CCDC77,CEP131
DR1,DTNB
BROX,CHMP4B
BICD1,CAPZB
CAPZA2,DYNC1I2
ARL6IP1,ATP1B2
CARMIL1,WASHC3
ITGB1BP1,ITGB4
DDX56,RPS26
ACTB,PHF10
ATP5F1C,ATP5ME
MRPS5,RPL23
GLG1,NFKB1
ATXN7L1,ENY2
CSNK1A1,PKP3
CCDC85B,KIF18A
LSM7,SF3A2
GUSB,MAN2B1
GNG3,NUFIP1
DDX27,LARP7
DDX17,IK
CTBP2,ZBTB18
CASC3,UPF2
ACTB,DPY30
AGO1,DGCR8
DDX47,NCL
NOP16,ZC3HAV1
IGF2BP3,LARP7
CHAF1B,IPO4
AATF,LIN28B
ATP5F1A,COX5A
DDX39B,LSM4
ATP5F1A,ATP5MF
CENPK,WTAP
DHX15,PPWD1
BOP1,CEBPZ
NUP214,NUP93
NDUFA8,NDUFV1
HNRNPU,RBL2
CHM,DENND1B
HDAC2,MBD2
ABT1,UTP14A
ABT1,KRI1
EGLN2,PRKCA
CDC25C,CSNK2A1
DDX10,RSL1D1
GAR1,RIOX2
CUL7,SKP1
MRPL51,MRPS22
MED10,POLR2G
MORF4L2,YEATS4
AUP1,PDE3A
MED1,MED31
BHLHE41,CTBP1
BRIX1,YTHDF3
ACTL6A,BCL7C
DDX17,TAF15
G3BP1,PRR11
ATXN7,TAF13
ANK2,ITPR3
DKC1,FBLL1
ANXA3,DARS2
ARHGEF12,GNA13
DHX16,TJP1
DDX56,UTP3
NOP16,ZNF689
AMT,DLD
CUL1,POLR1A
MED24,MED28
COMMD2,COMMD5
DLAT,PDHA1
HNRNPH1,HNRNPK
NOP16,ZNF512
AKT1,BAX
MTMR1,TRIM35
DHX15,THOC5
CEBPZ,DDX18
CUL1,GSK3B
KIF11,MAD2L1
EEF2,TSR1
DDX56,NOC2L
ARMC8,MKLN1
CEBPZ,NOP2
MED17,MED18
KDM4A,MDC1
CSF3,FGF13
HNRNPU,RBM28
MRPL41,MRPS21
DHX35,PABPC1
MALSU1,MRPL22
DDX17,DHX9
DDX24,MOV10
ANAPC1,CDC16
MALSU1,NDUFAB1
MED17,MED29
ACTB,CEP162
EBNA1BP2,NSUN2
