entity1,entity2
ACAA2,HADHA
HTT,REST
EPHX1,RETSAT
MRPL41,MRPS2
CCDC86,ZCCHC3
ACAA1,HSD17B10
CIRBP,LSM6
GATA4,HAND2
F11,F12
GADD45GIP1,MRPL50
GATA4,MEF2C
ATP13A2,IL27RA
IL17A,IL17RA
IGF2BP3,RPL4
INTS14,INTS6
MRPL27,MRPL42
BNIP2,CDH15
GTF2F1,MNAT1
MOV10,PRDM15
FADD,LRRK2
ARL14EP,UBAC2
CDK9,HES1
GZF1,STAU2
CD63,ITGB1
COX4I1,COX5B
ENAH,EVL
ACACA,ACAT1
BAHCC1,SUDS3
ANP32A,C1QBP
LSM4,NUDT21
MPG,UTP20
MYEF2,NOL6
ATRX,DAXX
HNRNPL,PDCD4
ADSS2,ITPA
MEF2A,MYH10
FOSL1,JUNB
CDK5,MAPT
NFKB2,RPL6
FNIP2,RRAGD
ANP32B,ANP32E
FOXO3,SGK3
MTA2,SMARCA5
MRPL14,MRPL32
C1QBP,TUBB1
BMPR2,SMAD2
ATRX,H3-2
MTIF2,MTIF3
BCL7A,SMARCE1
LIG3,POLD4
GSE1,SIN3A
MRPL40,MRPL54
MTHFD1L,SHMT1
MED1,MRPL21
GZF1,YBX2
MAPK12,MAPKAPK3
ERAL1,MRPS10
ANAPC5,BUB3
CCNB1,CCNH
CAV1,CAV2
ATP6V0A2,ATP6V1E2
MAPK8,NFATC3
LRBA,RD3
CBLL1,ZC3H13
CCDC90B,MCUR1
MTPAP,SRR
FOXD4L6,KIAA0232
MOV10,PRPF40A
FAM91A1,WDR11
HOXD12,MAF
MYOD1,SMAD3
APC,SCRIB
DNMT3A,WT1
AKT1,IRAK1
DNAJB12,TTC3
BOP1,GZF1
CARD9,TAB3
ESR1,IKBKE
HRAS,IRS1
HEATR1,RPS23
MRPS6,RPL4
ACADSB,SETD3
JOSD2,UBC
HSP90AB1,NOLC1
GTF2B,TAF7
CDK1,ERBB2
CDK1,RPS3
NACA2,RPS4X
MALSU1,MRPL24
CKB,ILF3
CHPT1,LPCAT1
HADHA,RPLP1
NAA11,NAA16
IQGAP1,PRKCA
FBXO6,H6PD
NSD2,RRP9
MALSU1,MRPL27
FZD3,WNT9A
CKAP4,CLCN7
EPOR,SHC1
GAR1,MAK16
CSNK2A1,IKZF1
MRPL10,MRPS31
CCDC91,GGA1
MYO19,MYO5C
DDX55,SRP72
DYNLL1,FAM117B
ACVR2B,SMAD6
FBXO7,RBX1
FOS,MAPK14
MRPS11,RPS23
MRPL21,MRPS11
CETN3,PCID2
BMS1,TBL3
FAU,RPL7L1
MRPL3,MRPL32
BCL10,PDPK1
BMS1,HEATR1
NAP1L1,RPL19
MIA2,PREB
GLUD1,GLUL
EXOSC4,XRN1
MCCC1,PREPL
CHD1L,CUL4B
MRPS6,RSAD1
CDK1,NFAT5
MOV10,TNRC6B
HNRNPM,MTREX
LDHA,MYC
COASY,PANK1
DGUOK,HPCA
MAPT,TUBB2A
AAAS,SENP2
BRAF,PAQR3
AKIRIN2,PSMA4
HNF4A,NCOA1
NOC3L,UTP18
AHCYL1,ITPR1
NCOA1,PCK2
DES,MYOG
DDX54,ZNF574
CCDC124,MAK16
MYO9B,RAC1
IKBKE,MOV10
DDX54,MRTO4
ACVR2B,INHA
BMS1,RPL15
BUD13,THOC5
HOXB5,HOXB7
BRAP,DIDO1
ABL1,CEBPB
BUD13,DKC1
MRPL10,MRPL57
CACNA1D,CALML4
CAD,GLUL
BRD9,SMARCD2
LTB,TRAF3
CCNA2,KIF11
BYSL,SRFBP1
MYBBP1A,SRPK1
F2R,GNAZ
LARP1B,SRRM1
CHD4,IPO7
IDH2,IDH3G
EIF4E,EIF4EBP1
CBFB,ELOC
NAP1L1,RPS5
IGF2BP3,ZNF668
GBA,SCARB2
MRPL38,MRPS11
CDK1,NUCKS1
KLHL24,RBX1
ETS1,MAF
CTBP2,KDM1A
GEMIN7,GEMIN8
MAPK12,MAPK13
NIP7,PHAX
NFATC4,PPP3CB
ITPR1,ITPR3
MRPL13,NGRN
C2CD3,CCDC18
ARAP1,ASAP2
CEP44,CORO1A
MOV10,SNRNP200
MOV10,ZBTB24
MSH6,RNPS1
CCNL2,CDK2
COX7A2L,MT-CO1
AP1B1,KIF13A
EIF4A2,ISG15
NAP1L1,RPL4
CCDC124,RPL27
MRPL53,MRPS33
HNRNPA1,NCBP1
BTG3,TNKS1BP1
COX6A1,CYC1
APEX1,UNG
GSR,MDH2
HES1,TLE2
FOXA1,SMAD3
ACP1,AKT2
ACO1,IDH3G
ADD2,ANK1
BTN2A1,XDH
MCM6,NOC3L
AKT2,CTNNB1
DDX54,NAT10
CDC37,ERBB2
CYB5A,CYP2E1
CYP2C8,EPHX2
CRNKL1,MOV10
EFTUD2,HDAC1
COL18A1,EDEM3
BAZ1B,EEF2
GTF2F1,POLR2A
EIF1,FAU
ARHGEF6,WIPF3
NOLC1,RPS16
ANO6,OSTM1
CDK1,RFC2
HCFC1,KMT2D
AP3S1,BLOC1S6
MOV10,TRA2B
NIP7,ZC3H8
EIF1AX,NAP1L1
FZD4,LRP6
FEM1B,RBX1
NOL6,RPS12
IGF2BP3,ZSCAN25
G3BP1,IFRD2
MRPS30,MRPS6
BYSL,EEF1B2
ERCC5,XPA
FERMT2,TCF7L2
COX5B,NDUFB1
BAG6,GET3
ATRIP,RAD50
ING2,SUMO1
CTNNB1,MEST
AVEN,NSD2
MTOR,PSMC5
GPATCH2L,PCGF3
CDC27,MXI1
MRPL27,RPS23
CHUK,TRAF4
ESR1,PPARGC1A
IRF1,MDM2
CUL2,CUL4A
MYBBP1A,RRP9
MPG,RPP25L
FYTTD1,ZNF629
MRPL4,MRPL43
ARL13B,CETN1
FLCN,HECW1
IGF2BP3,LUC7L3
CD74,MRPL21
CTNNB1,FHL2
BLM,SUMO3
CHUK,TRAF5
ASAH2,CERS6
DDX55,NOC3L
ESR1,SCN5A
AXIN1,DVL1
MUS81,SLX4
BET1L,GOSR2
NRBP1,NRBP2
BCL2,ITPR1
CEBPB,GDF15
MPG,RPS10
EXTL2,LPAR1
CUL4A,RACGAP1
H4C15,MIS18A
IGF2BP2,RCC1L
MRPL22,MRPS18C
CREBBP,HTT
FZD3,WNT5B
HDAC3,TBL1Y
CBFB,YAP1
ID2,TCF3
FYTTD1,ZNF22
CARD11,PRKCB
MAPT,SYT1
ATP6V0A2,ATP6V1E1
MRPS18A,MRPS27
CBR3,CSTB
NIFK,NSD2
CEBPB,IL10
ALG3,ALG9
ISCU,NFS1
FAU,PRAMEF25
NAP1L1,RPL23A
ESR1,RPS6KB1
CERS4,DEGS1
MYBBP1A,NOC3L
IGF2BP3,SART1
BAG3,HSPA1B
GTF2I,RPL6
FLT3,GAB2
CORO1B,SPTBN1
EXOSC2,MPHOSPH6
CLUAP1,TRAF3IP1
ARHGAP10,C2CD2
KLHL24,KLHL42
CDC42,MYO9B
CCDC124,PABPC4
CAPN1,CDH1
GNL3L,NSD2
DESI1,PSMA5
DHX57,MPHOSPH10
IGF2BP3,SNRPD3
BAG1,BCL2
COL18A1,NCL
LRP6,WNT10A
IGF2BP3,RPF1
ATP6V1A,TMEM199
MTHFD1,NACA2
MTREX,WDR75
NEDD8,PRCP
MAPK9,TP53
CCDC124,RPS27A
FGF7,FGFR3
MYBBP1A,NKRF
AKIRIN2,CEP120
MRPL21,RPL3L
DDX54,DHX29
BUD13,IMP4
CCNA2,CDK3
GSTM2,GSTM3
EWSR1,PRKCB
CALR,RPL23A
KAT2B,NCOA1
FKRP,POMT1
NOL6,PHAX
NUDCD1,WDR55
MOV10,PES1
BCKDHA,BCKDK
INTS4,INTS6
GEMIN2,GTF2B
MYH10,ROCK2
ESR1,MED10
BMS1,RPS24
GPAM,GPD1L
AKT2,GNG12
ERAL1,MRPS24
LAMP1,MTOR
CNOT7,PATL1
GNL1,NOC2L
NOL12,NSD2
AJUBA,HDAC2
BIRC5,BUB1
MRPS10,MRPS18A
BTF3,RPL19
ARIH1,ISG15
DENND1A,STAMBPL1
CD276,TREML2
BYSL,RPL24
BAZ1B,RPS7
MYBBP1A,SPEF2
HOXA5,HOXB7
CSNK1A1L,GLI3
IGF2BP3,SRP72
NEDD4L,YWHAH
NPHP4,PAX3
ACAT1,HMGCS2
IGF2BP2,MRPS35
MOV10,SF3B1
CASP6,NUAK1
EEF1A2,PBDC1
MRPL13,MRPL20
NCBP1,SRSF1
ATM,EIF4EBP1
AMFR,DERL2
MPG,RPL38
BUD13,WBP11
NOL6,ZC3H8
ALG8,SC5D
FAM117B,KIF21A
DUSP16,MAPK9
HCLS1,WAS
CBL,LYN
BYSL,FAM207A
COA1,COX6C
AGO2,NCOA6
B3GLCT,CHID1
MOV10,NOP16
DIMT1,NAP1L4
FOS,NFATC2
GTF2B,SMARCC2
CARD11,RIPK2
DLGAP5,RANBP3
C2orf49,RTCB
FZD2,GP1BB
EIF2B2,HEATR3
KNOP1,ZC3HAV1
AKT1S1,RRAGD
C1D,EXOSC9
BMS1,DNTTIP2
DAG1,FKRP
NOL12,RBM19
MRPL10,MRPL33
CEBPA,FLT3
ATM,HIF1A
CCDC86,TSR1
LRWD1,ORC5
ERCC5,POLD1
BTF3,RPS5
KANSL1,KDM6A
NUP133,NUP88
EXOSC2,PNPT1
ACACA,MCAT
AURKB,CCNB2
CASP8,RIPK1
BUD13,PRPF18
EPAS1,PELP1
CCND2,GSK3B
MND1,RAD51
FBXL19,MRPL36
IFNAR2,IFNB1
CBFB,SOD1
CORO1B,PLEKHG3
FZD3,WNT7A
MRPS14,MRPS31
COL18A1,PCSK6
GAPDH,HTT
IFT88,RABEP2
ADAM17,GALNT7
BTF3,RPL4
MRPS18A,MRPS22
IMP3,NIP7
CIRBP,PPIL1
BBS7,MKKS
CEBPA,RUNDC1
IFRD2,PA2G4
CCDC59,EBNA1BP2
LMX1B,SSBP2
CSNK2A2,EIF4EBP1
NLK,TCF7L2
COX5B,COX7A2
BICD2,LSM3
KNOP1,ZNF689
MRPS24,MRPS9
MOV10,RTCB
CCDC59,DDX24
ATP6V1A,ATP6V1H
MRPS9,RPL26
KNOP1,ZNF512
MRPL10,MRPS7
CDK9,HEXIM2
CAMK1G,EIF4G3
MTA2,RCOR1
MRPL32,RPS13
MTREX,SF3A3
NOL6,RPLP2
ACSS1,NADK2
MRPL27,RPL13A
FOXP3,HDAC7
CREBBP,IRF3
EIF1AX,MTHFD1L
ARCN1,COPB1
ELK4,SRF
MRPL37,MRPL4
GAPDH,TKTL1
IFRD2,RPL28
CEBPB,FLT3
MRGBP,TTI2
FOXP3,STAT3
BOK,ITPR2
ACTG2,NOLC1
HES1,SRC
AMFR,UFD1
HADHA,PABPC1
GADD45GIP1,MRPL27
BRCA2,H2AX
B9D2,CEP290
CPSF7,MTPN
AKAP11,PRKACB
ATOH7,POU4F2
CENPH,WTAP
EIF2S1,NAP1L1
DHX9,NCBP1
IQSEC1,RICTOR
CALR,TRMT112
BBS2,TTC8
MRPL22,MRPS11
BUD13,SRP68
LACTB,MRPS34
CHUK,KPNA3
CCDC86,RIOX2
CBS,MTHFR
LIN28B,NIP7
ANK1,SCN5A
NCK2,WIPF1
ARPC3,DOCK8
ALG6,ALG8
ADH5,CYP26A1
MAGOHB,YJU2
CIRBP,RBM17
LACTB,MRPL13
BRPF1,KAT6B
CCND2,MYCT1
DDX54,STAU1
ACTL6A,EAF2
CBLL1,CDH1
CREB1,FHL2
AKT1,CASP9
ACIN1,MKRN1
MRPL24,SLC25A10
FOS,JUNB
KAT14,KAT2B
MAGOH,MAGOHB
BIRC6,DIABLO
CELSR3,IDH3G
CASP8,TICAM1
GPSM2,PARD3
EXOSC10,WDR3
CCDC124,IFRD2
CCDC93,COMMD9
IQGAP1,MYO19
HOXB8,TAGLN
DDX5,MOV10
EXOSC7,EXOSC9
DOK4,KBTBD7
ENDOD1,SFT2D2
BTF3,RPL23A
GZF1,HERC5
KIF22,MKNK1
FKBP14,TARDBP
KNOP1,RPL26L1
BNIP2,CTNNA1
CBFB,SMARCB1
CIRBP,SNRPD1
ABRAXAS1,UBE2V2
CDX2,FBXW7
DDX54,LYAR
MPHOSPH10,PURA
DHFR,GGH
HIPK2,RUNX1
MRPS9,RPS9
CCNH,GTF2H3
MAPK12,PTPN3
MPHOSPH10,RRP15
NOC3L,SURF6
MRPS10,RPL31
CCDC86,IGF2BP3
MRPL11,MRPL21
KNOP1,MRPS26
CAMK2A,JAK1
CCDC59,LLPH
ANGPT1,SOS1
FKRP,FKTN
BUD13,NCBP2
KDM4A,NSD2
HES1,PRKCA
IFT172,IFT81
HEATR1,PDCD11
NSD2,RBMX2
FYTTD1,LARP1
IRAK1,IRAK2
NAP1L1,SLC25A6
GPS2,MSH5
C3,CR1L
ANP32A,ANP32E
MMAB,MMADHC
LDB1,LHX9
DNMT3A,H3C1
IGF2BP3,PPIH
IPO7,U2AF1L5
ABL2,NCK2
CBR1,DENND3
CCDC86,NOL12
BYSL,RPS16
MRPL16,MRPL50
BMS1,WDR46
HDAC5,NR2E1
CUL7,NEDD8
MRPL50,MRPS18B
MTHFD1L,RPL5
CCDC112,NOL4L
APC,CASP3
NSD2,RPS17
BAG3,HSP90AB1
FCGR1A,NCR3LG1
MRPL53,RCC1L
MAK16,REXO4
CCDC92,PSMD14
MRPL4,MRPS9
FNBP1,WASL
MOV10,SF1
MPG,RPL37
CXCL1,GLI3
HAX1,MAPT
IFT172,TTC30A
HEXIM1,NONO
BRCA2,TP53
EEF2,IFRD2
IFRD2,RPL23
CIRBP,SF3B3
COQ5,GPD1L
FOXO3,YWHAG
MSH6,SNRPE
MAP2K3,MAPK12
MEIS3,PBX2
MOV10,RBM34
CUL4A,CUL7
BAZ1B,NOLC1
NUP37,SEH1L
MRPL27,NGRN
BRD9,SMARCD1
CALR,SLC25A6
LARP1B,RBM28
ARFGAP2,COPB2
CYP2E1,EPHX1
APRT,GUK1
BMS1,FARS2
CCND1,KAT2B
DUSP1,MAPK11
MTA2,RAD21
AKT1,AR
DUSP1,FOS
CARD19,CHCHD6
DGUOK,MAPRE3
DDX18,FYTTD1
IL13RA1,TRAF3IP1
CASP9,PTMA
MTA2,SAP18
IFNA2,ISG15
MRPS10,MRPS5
MRPL21,RPL26L1
ATP6V1B2,IGBP1
CCNA2,PLK1
MOV10,RRP12
IFT27,IFT57
HEATR1,WDR43
BUD13,PRPF8
ASH2L,HDAC2
CDR2,CENPE
MRPL32,MRPL41
MRPL17,MRPL4
DIMT1,IGF2BP3
MRPL37,MRPS6
ANO6,LAMA4
H3C12,MAPK11
DLGAP5,KIF23
NOL6,UTP14A
HDAC1,IKZF1
ANAPC11,CUL7
BMPR1B,BMPR2
MRPL21,MRPS26
DGKE,RETSAT
MAPT,PRKAG2
H1-0,HIRA
MRPL46,RPL23
BMS1,REXO4
HNRNPUL1,NXF1
MPHOSPH10,RPS19
MMUT,SUCLG2
CEP55,DLGAP5
NARS2,NUDT19
CHCHD6,MICOS10
CCDC124,KRI1
CCDC93,VPS29
NOLC1,RPL10A
CD47,THBS2
MSH6,RUVBL1
KNOP1,ZNF189
EIF5B,NAP1L4
GSTO2,HEXA
LYAR,NOL12
BCL11A,BCL7A
NR2E1,SOX2
KDM3A,USP11
MRPL2,MRPL32
CCDC59,YTHDF3
CD2AP,NPHS2
INTS3,INTS6
NMNAT1,NOC3L
F2R,TNFRSF12A
COMMD5,FAU
DHTKD1,GCDH
CDK1,UBA1
HRAS,LRRC7
EIF3A,FAU
AMFR,UBB
DIS3,EXOSC3
ESYT2,SLC35F6
EXO1,RFC4
LUC7L,SRSF7
MAN2A1,MGAT1
MRPL41,YARS2
ABT1,BMS1
CD44,EPCAM
ABL2,HRAS
CORO1C,MYO19
HNRNPA2B1,SNRNP40
MCUB,MCUR1
CCND2,CDKN1B
MTA2,STAG1
IFRD2,RPS27
AKR1E2,DNM1
IPO7,PUF60
BAZ1B,RPL3L
DNMT1,HDAC2
INTS6,PPP2CA
DDX47,DDX54
APEX1,RAD9A
ABT1,DDX54
LIN7B,RTKN
ATRIP,UBE2T
ANK1,CD44
ANAPC11,CDC26
NCAPD2,NCAPH
MRPL4,MRPL9
HSPD1,U2SURP
DERL1,RNF5
GCC2,TTC4
MYBBP1A,RBMX2
DDX56,NSD2
CFL1,CORO1B
NSD2,RPS26
ITPA,PGM3
ASPM,NCAPG
MTHFD1L,MTHFD2L
CCNH,MNAT1
AHCYL1,CTH
MLH1,MSH2
MRRF,RPL23A
C12orf43,HP1BP3
NARF,PHKG2
FH,HSD17B14
CCDC124,IGF2BP1
CIRBP,DDX41
BAZ1B,SRP14
C1QTNF5,HNF4A
EIF2S1,MTHFD1L
NAT8L,RIMKLA
MAGOHB,SNRPA1
CENPF,GRIP1
MRPL12,MRPL24
HNF1A,UGT1A1
NOLC1,RPL6
GATAD2A,ZNF521
LTBP3,TGFB3
FYTTD1,IMP4
CASK,LIN7B
ARCN1,USO1
MXD4,SMC3
IRS2,MTOR
CA8,RAD51AP1
BUD13,SYF2
NOS3,NOSIP
CALR,RPS25
MRPL12,MRPL27
GFM1,MTIF2
MRPS10,RPL11
CHPF,ENTPD6
FAHD1,HSD17B14
MYBBP1A,RPS17
CREB3,MBTPS2
IGF2BP3,RPS3
NDUFS2,NDUFV3
FAU,RPL39
CBX2,PHC1
NMU,NMUR1
NSD2,RIOX1
MLH1,MSH5
CCDC59,PRDM15
BOD1,CXXC1
ID4,OLIG1
ACIN1,LUC7L
DBT,HDAC6
ACY1,ASPA
CALML6,HRAS
LRP6,WNT8B
MRPL4,TUFM
MRPL13,MRPS2
DENND1A,GDI2
HDAC5,RUNX2
MT-ND1,NDUFB1
AXL,SH2D2A
ABLIM2,LIN7B
IFNLR1,IL10RB
MYOD1,MYOG
DEF6,RAP1B
FAM83G,YWHAB
BYSL,EIF1AX
ELMO2,FCGR2A
GBE1,GYG1
GABRE,TP53I3
ACTB,BAIAP2
ID1,TCF3
AGO2,TARBP2
COX4I1,COX7A2L
DARS2,MTIF2
IFRD2,NAP1L1
GBF1,XPO4
FSTL3,INHBA
AURKB,VIM
HSPH1,USP9Y
FAU,RIOX2
MRPL19,MRPS18A
ANAPC10,ZNF12
AP1B1,B2M
FAU,ZFP62
AGL,GBE1
FGF23,FGFR3
B3GNT2,B4GALT4
ABT1,MPHOSPH10
MRPL19,MRPL4
MAD2L2,TRIP13
ACE2,INPP5K
MOV10,ZC3H10
AKT2,PIK3R3
FCGR2A,PIK3R1
MYH6,MYL4
FMNL1,PFN1
BTF3,SLC25A6
BAG5,HSPA4
NOLC1,RPS15A
FSCN1,PRKCD
HDAC2,SUDS3
BOP1,NSD2
ISG15,STAT2
IDH1,IDH2
ERCC4,XPC
H3C12,MPHOSPH8
MRPL20,MRPL32
GGA1,SORT1
AURKB,CDK1
ADK,AK1
IFRD2,RPL10L
MRPL32,MRPS21
GTF2B,TAF11
MAX,MXD4
ALG13,ALG14
HADHB,UQCRC2
NOC3L,RPS24
MPLKIP,THAP9
EXO1,PCNA
BUD13,CCDC59
ALDH4A1,GOT2
ATP6V1C1,ATP6V1E2
MPI,PGM2
EIF4A2,EIF4A3
MRPL21,MRPS25
ERG,ICAM2
EZH2,HDAC3
MRPL40,MRPL55
DDB1,MSH2
KCNH2,KCNQ1
CMC1,COX16
NDUFA10,NDUFV3
COPS6,NEDD8
CWC22,MOV10
KANSL1,SENP3
BAZ1B,BYSL
GFPT2,GNPDA2
GTF2F1,MED17
FAU,MRPS2
APPBP2,CUL4A
APBB1IP,ITGA2B
IFIH1,IRF7
FAU,IGF2BP3
IWS1,LEO1
KNOP1,RPL26
MPHOSPH10,NOL10
B9D1,CEP290
BARD1,BLM
ABL1,CBL
CPSF6,LSM4
ATP5F1B,ATP6V1A
BMS1,GNL3
ECHS1,HSD17B10
NACA2,RPS15
GBF1,SAAL1
MOV10,RPL11
MGAT2,MGAT3
MRPL24,NDUFAB1
DECR1,MUS81
BUD13,THOC2
CD74,FAU
LIG4,NHEJ1
BCL7A,SMARCA2
LARP1B,YTHDC2
MYBPC1,MYL4
NOL6,RPL18A
APEX1,LIG3
EOGT,GSTCD
MYBBP1A,RPS26
CUL4A,PCNA
MRPL16,MRRF
DDIT3,JUN
CORO1B,WDR1
FSTL3,YAP1
ALG10B,ALG8
KDM1A,SYMPK
HNF4A,SUB1
LARP1,MOV10
DLG1,MAPK12
GZF1,TTF1
IL10RB,IL22
KIAA1586,VPS13B
HADHA,RPL29
ATM,NSD2
AP1AR,AP1G2
COL3A1,COLGALT1
CCDC124,RPL18A
NSMAF,OSBPL1A
DIS3,EXOSC8
KDM1A,KMT2A
MAPK3,MKNK1
CDK1,RANGAP1
FYTTD1,SRP68
MAP3K7,TNFRSF1A
GDI2,RAB21
CDC14A,IREB2
BUD13,RSBN1
DCTN1,GALNT1
LYRM4,NFS1
ABHD10,UBR4
NEIL2,PDXK
MTA2,TAF1
ATP6V1B2,LAMTOR2
NCAPG,SMC4
MTPAP,POLD3
DDX55,UTP3
AKT1,ESR1
NOL6,RPL36
NFATC4,RPS6KA3
CCNE2,CDT1
MRPL10,MRPS35
KRI1,NOL12
ACAD10,ALDH8A1
AP2A1,ARRB2
MAP2K2,PXN
NOLC1,NPM3
HNRNPA1,HNRNPAB
DAPK1,TPM1
H3C13,ING2
MOV10,MPHOSPH10
ANAPC1,ANAPC4
GNAQ,HRAS
MRPS9,MRTO4
ATF3,ATF7
CCDC124,RPL36
GPATCH2L,PHRF1
NHP2,NOL6
NEDD4L,SMAD2
G3BP1,MPG
GEMIN5,GEMIN8
DESI1,PSMC3
CYP27B1,GFI1
ETFB,NEDD8
GATAD2A,RCOR1
HDAC1,MECOM
AXL,PIK3R2
GOLM1,TMEM143
MAPT,NUFIP1
H3C4,KAT2B
CIRBP,PPM1G
CCDC124,UPF1
CCNH,POLR2A
KDM1A,MTA1
MYBBP1A,UTP3
MAK16,WDR12
ESR2,MED12
FBXO15,HINT3
CBL,MET
EHBP1,IFT80
ATP6AP1,ATP6V1A
AVEN,KNOP1
KIF14,RHOC
BMS1,SRRM1
AKT2,CDKN1A
NAP1L1,RPS3
JADE1,NPHP4
AKT1S1,RHEB
NCBP1,XPO1
DAP3,MRPL24
MRPL53,MRPS36
MRPS6,RPL9
MRPL21,RPL26
IRF2BP2,IRF2BPL
CTBP1,HDAC1
DAP3,MRPL27
MOCS3,NFS1
C12orf43,PPAN
ATRX,H3-5
LARP1,LARP1B
MED13,NCOA1
MYBBP1A,NOC2L
BAZ1B,USP10
MYO19,ZBTB20
CAND1,DCUN1D1
CENPC,CUL4A
AFMID,TOMM40L
ENTPD1,ENTPD6
MPHOSPH10,RPL7L1
DRG1,FYTTD1
ARHGEF6,GNB1
HADHA,HIBCH
C12orf43,MYBBP1A
MRPL19,MRPS6
CDK8,NCOA1
DDX55,DDX56
MRPS16,MRPS6
LAGE3,MFAP3
KDM3A,PPARG
CUL4A,UBE2M
LLPH,NOC3L
IFT46,IFT74
CCDC124,RRS1
ASXL1,HCFC1
NOC3L,RPS13
DICER1,MOV10
MRPS17,MRPS6
LSM4,SF3B4
EXOSC4,SKIV2L
CEBPB,SREBF1
CALR,RPS3
CIRBP,PRPF31
LARP1B,RPL15
CBX2,PCGF2
CCNB2,CDK1
DHX37,UTP20
NCAPG2,NCAPH
APEX1,SLC5A5
MSH2,TADA3
BMS1,WDR12
BDH1,HMGCL
FOXF1,GLI2
ATF7IP2,SETDB1
DDX54,UTP18
JAK2,PIK3CA
MTOR,TELO2
DNTTIP2,MPHOSPH10
AP2A1,FCHO2
FADD,RNF135
BYSL,RPS26
ATG9A,LGALS8
DNM1,ITSN1
G3BP1,HADHA
ARHGAP21,COBL
ACVR2B,INHBA
BUD13,RRP9
CEP131,CEP19
ARHGEF6,DOK1
DENND2A,GDI1
FAT1,VASP
IDH2,SIRT5
NOLC1,RRBP1
DDX55,MYEF2
BIRC5,BUB1B
LIG3,PDXK
NSD2,WDR36
IFT88,VIM
NPB,NPBWR1
AK2,GOT2
NGDN,NOL6
AMFR,RPS27A
CCDC124,RSBN1L
DVL1,TSC2
FOS,MAPK11
NOL12,RPL36A
FZD3,NLK
MRPL21,RPS9
FAU,PRR11
HRAS,NRG4
ARFGAP1,MOGS
MAPK9,NFATC2
DCLRE1C,HERC2
DDX3X,MSH6
GSTM1,MYB
HEATR1,RPS18
BARD1,MSH6
LAMA5,LAMB2
APH1B,ITGB3BP
FANCF,HES1
BCAT1,PTK2
MAP2K3,MAP3K7
ARL14EP,MCUB
MRPL16,MRPL27
HADHA,RPS18
DPF2,HDAC1
CCDC71,GATAD2B
NUDT5,NUDT9
BCL11B,BCL7A
ENO3,RCN3
MAGOHB,UPF3B
CDK2AP1,MTA2
BUD13,NOC3L
CCDC86,XRN2
BUB1,MAD2L2
IKBKB,SNAP23
CCNK,FBXO44
CCDC59,RRP1B
AKT1,IQGAP1
MLH1,RFC2
NDUFB1,NDUFB10
JAK2,KITLG
KNOP1,NIP7
MRPL42,MRPL53
MRPL32,RPS29
BRAF,HSP90AA1
AP3B2,BLOC1S4
CCDC59,PES1
HSPA4,KANSL1
IL23A,SATB1
ARPC4,COBL
MRPL24,MRPL45
HERC5,NSD2
COPS5,FNIP1
CALR,FAU
EIF3F,FAU
IFT88,OFD1
NBEAL2,VAC14
MTREX,SRSF1
BUD13,NKRF
IGF1R,INSR
IRS1,MAPK9
AAAS,SUMO1
CDC5L,CWF19L1
GDI1,RAB10
ALB,LTF
NACA2,RPL35
EIF4EBP1,RPS6KB1
KAT2B,SUPT3H
CHUK,RUNX3
HEATR1,UTP20
BYSL,EEF1A1
LAMP1,MIOS
IFNG,IL23R
ELK1,MAPK9
FAU,RPL36AL
NACA2,RPF2
FBP1,HK1
CHAF1A,IPO4
FARP2,PLXNA3
CCNE2,CDKN1C
ICAM1,ITGB1
IL1RL1,MYD88
LHX6,NUDT22
COBL,MYO1C
CENPM,DDB1
GZF1,RPL17
LEF1,TLE3
CCDC86,ZNF622
MPHOSPH10,ZCCHC3
MT-ND2,NDUFV3
DDX3X,MAVS
NLRP1,NLRP2
NOL12,PAK1IP1
MRPL34,MRPS9
KAT2B,MAML1
ATP6V0C,ATP6V0E2
HEXA,HEXB
CIRBP,SNRNP70
CCDC59,NOP16
EXOSC3,ZFC3H1
ASCL1,LMO3
DHX15,MSH6
MYOD1,TEK
DUSP22,ESR1
BAD,YWHAQ
MRPL40,MRPL46
NEDD4L,WWP2
MRM3,MRPL32
FAU,RPL10
IRF1,IRF8
NR1I2,RXRA
LCP2,VAV3
DUSP3,MAPK1
CMC1,COA3
FAU,TTC37
MRPS22,NSD2
HAX1,RAB6B
IKBKB,MAP3K7
ANAPC1,CDC23
MYO19,MYO5B
CHUK,IFIH1
BYSL,RPS15A
MRPL12,MRPS9
NUP62,NXT1
COBL,MYL6B
LEF1,PYGO2
DNM2,NEDD4
ANPEP,IRX1
NR2F1,RXRB
NUP43,SMPD4
BIRC5,CASP9
BMP8A,BMPR2
FAU,RPL22L1
FAF2,SETDB1
BTF3,RPS3
COA1,TIMM21
BLM,FANCG
KNOP1,NGDN
GNL3L,GZF1
EP300,LEF1
CHUK,TNF
CCDC59,RTCB
CENPH,CENPM
COL18A1,FUT11
COX6A1,COX7A2
DUSP3,EGFR
NFKB2,POLR1D
METTL17,MRPS10
ADCY1,CALML4
IGF2BP2,MRPS10
ADAT1,ADAT3
KDSR,RDH13
FOXO3,TP53
ITPA,NME4
BAZ1B,SMARCA4
ATP6V0A4,ATP6V0D1
DDX18,NIP7
CCDC86,ZCCHC9
IFNAR1,STAT1
HDAC2,TAF6
NSD2,UBE2I
CCDC124,MPG
ANK2,HAX1
INHBA,IRX1
CEP164,FBF1
AHCY,C1orf50
MRPL14,MRPS18C
HSCB,UQCR10
